"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "HTML", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\courses\Graduation Project\ProFit Admin\profit-admin\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\courses\Graduation Project\ProFit Admin\profit-admin\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\courses\Graduation Project\ProFit Admin\profit-admin\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\courses\Graduation Project\ProFit Admin\profit-admin\inpppp.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 15, 4, 32
"c:\courses\Graduation Project\ProFit Admin\profit-admin\package-lock.json", "JSON", 0, 0, 10789, 0, 0, 0, 0, 0, 0, 1, 10790
"c:\courses\Graduation Project\ProFit Admin\profit-admin\package.json", "JSON", 0, 0, 53, 0, 0, 0, 0, 0, 0, 1, 54
"c:\courses\Graduation Project\ProFit Admin\profit-admin\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\Seitsenpainos_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\Seitsenpainos_logo_white.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\images\Coming Soon.svg", "XML", 0, 0, 0, 0, 0, 0, 153, 0, 0, 1, 154
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\images\Heart Rate.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\images\Sleep.svg", "XML", 0, 0, 0, 0, 0, 0, 45, 0, 0, 1, 46
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\images\Steps Icon.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\images\Water Need Icon.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\images\avatar.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\images\heart rate icon.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\images\trophy.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 29
"c:\courses\Graduation Project\ProFit Admin\profit-admin\public\vercel.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 151, 0, 0, 5, 11, 167
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\AppleIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\Avatar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\CoinIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\DumbbellIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\FutureFeaturesIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 158, 0, 0, 0, 1, 159
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\GlobalIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\GridIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\HeadphonesIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\HeartIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\HeartRateIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\LogoutIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\MessageIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\PackageIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\PinPaperCheckIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\SleepIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 7, 3, 61
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\SleepTrackIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 2, 3, 20
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\StarIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 4, 2, 18
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\StepsIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\TrophyIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\UsersIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\UsersMoreIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\WalletIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\Icons\WaterNeedIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\context\DarkModeProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 8, 38
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\context\DietProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 390, 0, 0, 10, 16, 416
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\context\MainNavProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\context\MealProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 17, 85
